vehicleType,heading,dir,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00
car,SB,Peds,0,0,0,0
car,SB,R,0,0,0,0
car,SB,T,0,0,0,0
car,SB,L,0,0,0,0
car,WB,Peds,15,14,17,23
car,WB,R,0,0,0,0
car,WB,T,0,0,0,0
car,WB,L,0,0,0,0
car,NB,Peds,37,48,35,34
car,NB,R,0,0,0,0
car,NB,T,0,0,0,0
car,NB,L,0,0,0,0
car,EB,Peds,11,12,4,13
car,EB,R,130,175,159,189
car,EB,T,288,270,294,337
car,EB,L,55,45,23,34
truck,SB,Peds,0,0,0,0
truck,SB,R,0,0,0,0
truck,SB,T,0,0,0,0
truck,SB,L,0,0,0,0
truck,WB,Peds,0,0,0,0
truck,WB,R,0,0,0,0
truck,WB,T,0,0,0,0
truck,WB,L,0,0,0,0
truck,NB,Peds,0,0,0,0
truck,NB,R,0,0,0,0
truck,NB,T,0,0,0,0
truck,NB,L,0,0,0,0
truck,EB,Peds,0,0,0,0
truck,EB,R,2,2,4,3
truck,EB,T,0,1,0,2
truck,EB,L,0,2,0,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,0,0,0,0
bicycle,SB,T,0,0,0,0
bicycle,SB,L,0,0,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,0,0
bicycle,WB,T,0,0,0,0
bicycle,WB,L,0,0,0,0
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,0,0
bicycle,NB,T,0,0,0,0
bicycle,NB,L,0,0,0,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,12,4,12,10
bicycle,EB,T,17,20,19,29
bicycle,EB,L,1,1,0,0
