vehicleType,heading,dir,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00,09:00-09:15
car,SB,Peds,33,90,0,0,0,0,0
car,SB,R,0,0,0,0,0,0,0
car,SB,T,22,62,83,103,86,73,40
car,SB,L,16,44,49,57,63,72,22
car,WB,Peds,15,78,60,87,94,100,40
car,WB,R,0,0,0,0,0,0,0
car,WB,T,0,0,0,0,0,0,0
car,WB,L,0,0,0,0,0,0,0
car,NB,Peds,27,93,80,72,118,90,58
car,NB,R,0,0,0,0,0,0,0
car,NB,T,0,0,0,0,0,0,0
car,NB,L,0,0,0,0,0,0,0
car,EB,Peds,28,79,7,0,0,0,0
car,EB,R,10,24,28,39,32,33,13
car,EB,T,67,141,169,164,187,197,81
car,EB,L,0,0,0,0,2,2,0
truck,SB,Peds,0,0,0,0,0,0,0
truck,SB,R,0,0,0,0,0,0,0
truck,SB,T,1,2,1,1,1,2,0
truck,SB,L,2,3,1,2,4,2,1
truck,WB,Peds,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0
truck,WB,T,0,0,0,0,0,0,0
truck,WB,L,0,0,0,0,0,0,0
truck,NB,Peds,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,0,0,0
truck,NB,T,0,0,0,0,0,0,0
truck,NB,L,0,0,0,0,0,0,0
truck,EB,Peds,0,0,0,0,0,0,0
truck,EB,R,0,0,0,0,0,0,0
truck,EB,T,0,1,0,1,1,1,0
truck,EB,L,0,0,0,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,0,0,0
bicycle,SB,T,1,1,5,2,3,6,1
bicycle,SB,L,0,0,0,1,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0
bicycle,WB,T,0,0,0,0,0,0,0
bicycle,WB,L,0,0,0,0,0,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,0,0
bicycle,NB,T,0,0,0,0,0,0,0
bicycle,NB,L,0,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0
bicycle,EB,R,0,0,0,0,0,0,0
bicycle,EB,T,2,5,9,10,10,11,6
bicycle,EB,L,0,0,0,0,0,0,0
