vehicleType,heading,dir,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45,17:45-18:00
car,SB,Peds,30,66,87,93,102,89,92,80
car,SB,R,0,0,0,0,0,0,0,0
car,SB,T,42,80,92,75,81,81,101,84
car,SB,L,27,43,44,41,42,60,42,33
car,WB,Peds,40,75,70,90,114,100,87,84
car,WB,R,0,0,0,0,0,0,0,0
car,WB,T,0,1,0,0,0,0,0,1
car,WB,L,0,0,0,0,0,0,0,0
car,NB,Peds,22,41,77,71,90,99,109,57
car,NB,R,0,0,0,0,0,0,0,0
car,NB,T,0,0,0,0,0,0,0,0
car,NB,L,0,0,0,0,0,0,0,0
car,EB,Peds,33,63,67,74,85,83,84,61
car,EB,R,14,10,19,17,20,23,19,20
car,EB,T,87,162,142,151,137,164,148,122
car,EB,L,0,0,0,0,0,0,0,0
truck,SB,Peds,0,0,0,0,0,0,0,0
truck,SB,R,0,0,0,0,0,0,0,0
truck,SB,T,1,2,3,3,1,3,2,2
truck,SB,L,0,1,5,5,2,6,6,5
truck,WB,Peds,0,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0,0
truck,WB,T,0,0,0,0,0,0,0,0
truck,WB,L,0,0,0,0,0,0,0,0
truck,NB,Peds,0,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,0,0,0,0
truck,NB,T,0,0,0,0,0,0,0,0
truck,NB,L,0,0,0,0,0,0,0,0
truck,EB,Peds,0,0,0,0,0,0,0,0
truck,EB,R,0,0,1,0,4,2,2,0
truck,EB,T,0,2,4,2,5,7,1,4
truck,EB,L,0,0,0,0,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0,0
bicycle,SB,R,1,1,0,0,0,0,0,0
bicycle,SB,T,3,6,6,14,13,13,10,13
bicycle,SB,L,1,1,0,0,0,0,0,1
bicycle,WB,Peds,0,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0,0
bicycle,WB,T,1,6,4,1,3,1,0,0
bicycle,WB,L,0,0,0,0,0,0,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,0,0,0
bicycle,NB,T,0,0,0,0,0,0,0,0
bicycle,NB,L,0,0,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0,0
bicycle,EB,R,0,1,1,1,0,0,0,1
bicycle,EB,T,1,14,9,16,10,8,8,7
bicycle,EB,L,0,0,0,0,0,0,0,0
