vehicleType,heading,dir,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45
car,SB,Peds,2,5,6,2,4,5,0
car,SB,R,0,3,6,2,8,4,1
car,SB,T,32,57,52,46,49,42,20
car,SB,L,0,2,1,1,2,0,0
car,WB,Peds,3,2,2,3,5,2,0
car,WB,R,1,1,2,1,2,3,0
car,WB,T,13,17,20,17,22,27,7
car,WB,L,4,6,7,3,5,6,3
car,NB,Peds,3,4,10,5,8,4,1
car,NB,R,5,10,2,3,6,6,0
car,NB,T,66,72,78,77,68,66,29
car,NB,L,17,15,17,20,20,19,6
car,EB,Peds,5,8,9,4,7,15,0
car,EB,R,13,13,15,12,15,15,5
car,EB,T,20,23,15,19,18,16,4
car,EB,L,1,0,1,5,5,4,1
truck,SB,Peds,0,0,0,0,0,0,0
truck,SB,R,0,0,0,0,0,0,0
truck,SB,T,0,2,1,1,1,0,1
truck,SB,L,0,1,0,0,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0
truck,WB,T,0,1,2,1,2,1,0
truck,WB,L,0,0,0,0,0,0,0
truck,NB,Peds,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,0,0,0
truck,NB,T,0,0,1,0,0,0,0
truck,NB,L,0,0,0,0,0,0,0
truck,EB,Peds,0,0,0,0,0,0,0
truck,EB,R,0,0,0,0,0,0,0
truck,EB,T,1,0,0,0,0,0,0
truck,EB,L,0,0,0,1,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,0,0,0
bicycle,SB,T,2,0,0,0,0,1,0
bicycle,SB,L,0,0,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0
bicycle,WB,T,0,0,0,1,0,1,0
bicycle,WB,L,0,0,0,0,0,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0
bicycle,NB,R,1,2,0,0,1,0,0
bicycle,NB,T,1,0,0,2,1,0,0
bicycle,NB,L,0,0,1,1,0,1,0
bicycle,EB,Peds,0,0,0,0,0,0,0
bicycle,EB,R,0,0,0,0,0,0,0
bicycle,EB,T,1,1,1,0,1,0,0
bicycle,EB,L,0,0,0,0,0,0,0
