vehicleType,heading,dir,07:00-07:15,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00
car,SB,Peds,0,1,2,0,2,0,1,2
car,SB,R,1,0,0,3,1,1,3,4
car,SB,T,28,36,39,41,34,47,31,17
car,SB,L,24,50,70,57,37,38,37,46
car,WB,Peds,1,4,1,2,5,3,1,4
car,WB,R,16,37,52,53,50,49,40,43
car,WB,T,15,33,24,30,42,25,37,24
car,WB,L,0,0,1,1,0,2,0,0
car,NB,Peds,0,2,4,0,5,4,1,2
car,NB,R,0,0,0,2,1,1,0,3
car,NB,T,9,31,41,21,43,27,47,24
car,NB,L,0,1,3,0,1,1,2,3
car,EB,Peds,1,5,11,1,5,10,4,9
car,EB,R,1,1,2,1,2,2,0,2
car,EB,T,15,43,33,41,36,30,21,26
car,EB,L,1,8,8,7,6,3,2,5
truck,SB,Peds,0,0,0,0,0,0,0,0
truck,SB,R,0,0,0,0,0,1,0,0
truck,SB,T,1,2,3,1,6,0,3,1
truck,SB,L,0,0,0,0,0,1,0,0
truck,WB,Peds,0,0,0,0,0,0,0,0
truck,WB,R,0,0,1,0,1,0,1,0
truck,WB,T,1,2,1,1,1,1,1,0
truck,WB,L,0,0,0,0,0,0,0,0
truck,NB,Peds,0,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,0,0,0,0
truck,NB,T,0,4,6,4,6,4,5,3
truck,NB,L,0,0,0,0,0,0,0,0
truck,EB,Peds,0,0,0,0,0,0,0,0
truck,EB,R,1,2,1,0,0,2,2,1
truck,EB,T,0,1,0,0,1,1,1,0
truck,EB,L,0,1,1,1,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,0,0,0,0
bicycle,SB,T,0,0,0,2,0,2,0,0
bicycle,SB,L,0,0,1,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,1,1,0,0,0
bicycle,WB,T,0,0,0,0,0,0,0,0
bicycle,WB,L,0,0,0,0,0,0,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,0,0,0
bicycle,NB,T,0,0,0,0,0,0,1,0
bicycle,NB,L,0,0,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0,0
bicycle,EB,R,0,0,0,0,0,0,0,0
bicycle,EB,T,0,1,0,0,0,0,0,0
bicycle,EB,L,0,0,0,0,0,0,0,0
