vehicleType,heading,dir,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45
car,SB,Peds,2,2,2,2
car,SB,R,0,2,1,2
car,SB,T,24,18,18,16
car,SB,L,0,1,0,0
car,WB,Peds,0,2,2,0
car,WB,R,0,1,1,2
car,WB,T,28,24,31,29
car,WB,L,3,2,5,2
car,NB,Peds,2,3,7,0
car,NB,R,4,7,4,4
car,NB,T,35,30,30,29
car,NB,L,44,37,49,45
car,EB,Peds,9,0,6,4
car,EB,R,55,56,28,46
car,EB,T,60,76,76,74
car,EB,L,8,7,5,0
truck,SB,Peds,0,0,0,0
truck,SB,R,0,1,0,0
truck,SB,T,1,1,3,0
truck,SB,L,0,0,0,0
truck,WB,Peds,0,0,0,0
truck,WB,R,0,0,0,0
truck,WB,T,4,3,0,4
truck,WB,L,1,2,1,2
truck,NB,Peds,0,0,0,0
truck,NB,R,2,4,1,3
truck,NB,T,0,2,1,1
truck,NB,L,2,3,2,3
truck,EB,Peds,0,0,0,0
truck,EB,R,4,4,1,3
truck,EB,T,6,9,4,9
truck,EB,L,0,0,3,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,0,0,0,0
bicycle,SB,T,0,0,0,0
bicycle,SB,L,0,0,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,0,0
bicycle,WB,T,0,1,1,0
bicycle,WB,L,0,0,0,0
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,0,0
bicycle,NB,T,0,0,0,0
bicycle,NB,L,1,1,0,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,1,0,0,0
bicycle,EB,T,1,0,0,0
bicycle,EB,L,0,0,0,0
